Date,PM2.5
8/29/2018,158
8/30/2018,191
8/31/2018,150
9/1/2018,52
9/2/2018,172
9/3/2018,191
9/4/2018,138
9/5/2018,9
9/6/2018,139
9/7/2018,77
9/8/2018,54
9/9/2018,44
9/10/2018,93
9/11/2018,113
9/12/2018,178
9/13/2018,121
9/14/2018,154
9/15/2018,168
9/16/2018,148
9/17/2018,147
9/18/2018,198
9/19/2018,15
9/20/2018,116
9/21/2018,181
9/22/2018,115
9/23/2018,82
9/24/2018,155
9/25/2018,160
9/26/2018,144
9/27/2018,122
9/28/2018,121
9/29/2018,76
9/30/2018,6
10/1/2018,154
10/2/2018,197
10/3/2018,137
10/4/2018,55
10/5/2018,130
10/6/2018,158
10/7/2018,126
10/8/2018,99
10/9/2018,16
10/10/2018,63
10/11/2018,50
10/12/2018,25
10/13/2018,79
10/14/2018,152
10/15/2018,104
10/16/2018,55
10/17/2018,167
10/18/2018,171
10/19/2018,167
10/20/2018,74
10/21/2018,49
10/22/2018,148
10/23/2018,167
10/24/2018,67
10/25/2018,196
10/26/2018,192
10/27/2018,56
10/28/2018,70
10/29/2018,44
10/30/2018,76
10/31/2018,41
11/1/2018,57
11/2/2018,108
11/3/2018,164
11/4/2018,37
11/5/2018,15
11/6/2018,93
11/7/2018,35
11/8/2018,15
11/9/2018,84
11/10/2018,92
11/11/2018,105
11/12/2018,58
11/13/2018,22
11/14/2018,90
11/15/2018,118
11/16/2018,53
11/17/2018,109
11/18/2018,53
11/19/2018,40
11/20/2018,13
11/21/2018,6
11/22/2018,86
11/23/2018,163
11/24/2018,119
11/25/2018,155
11/26/2018,156
11/27/2018,43
11/28/2018,200
11/29/2018,22
11/30/2018,36
12/1/2018,102
12/2/2018,37
12/3/2018,187
12/4/2018,121
12/5/2018,165
12/6/2018,39
12/7/2018,101
12/8/2018,166
12/9/2018,2
12/10/2018,18
12/11/2018,108
12/12/2018,178
12/13/2018,96
12/14/2018,73
12/15/2018,107
12/16/2018,160
12/17/2018,104
12/18/2018,191
12/19/2018,78
12/20/2018,108
12/21/2018,57
12/22/2018,167
12/23/2018,52
12/24/2018,182
12/25/2018,147
12/26/2018,21
12/27/2018,98
12/28/2018,86
12/29/2018,122
12/30/2018,194
12/31/2018,53
1/1/2019,154
1/2/2019,77
1/3/2019,98
1/4/2019,136
1/5/2019,122
1/6/2019,158
1/7/2019,154
1/8/2019,13
1/9/2019,48
1/10/2019,162
1/11/2019,130
1/12/2019,151
1/13/2019,94
1/14/2019,2
1/15/2019,186
1/16/2019,66
1/17/2019,146
1/18/2019,73
1/19/2019,97
1/20/2019,154
1/21/2019,195
1/22/2019,128
1/23/2019,83
1/24/2019,153
1/25/2019,3
1/26/2019,112
1/27/2019,37
1/28/2019,109
1/29/2019,110
1/30/2019,62
1/31/2019,154
2/1/2019,47
2/2/2019,199
2/3/2019,34
2/4/2019,155
2/5/2019,123
2/6/2019,198
2/7/2019,182
2/8/2019,199
2/9/2019,160
2/10/2019,161
2/11/2019,58
2/12/2019,85
2/13/2019,144
2/14/2019,191
2/15/2019,20
2/16/2019,49
2/17/2019,112
2/18/2019,48
2/19/2019,190
2/20/2019,45
2/21/2019,38
2/22/2019,49
2/23/2019,75
2/24/2019,158
2/25/2019,5
2/26/2019,14
2/27/2019,186
2/28/2019,153
3/1/2019,38
3/2/2019,12
3/3/2019,194
3/4/2019,152
3/5/2019,56
3/6/2019,94
3/7/2019,26
3/8/2019,72
3/9/2019,102
3/10/2019,136
3/11/2019,17
3/12/2019,77
3/13/2019,190
3/14/2019,151
3/15/2019,124
3/16/2019,198
3/17/2019,187
3/18/2019,51
3/19/2019,86
3/20/2019,169
3/21/2019,167
3/22/2019,141
3/23/2019,199
3/24/2019,190
3/25/2019,91
3/26/2019,63
3/27/2019,148
3/28/2019,127
3/29/2019,56
3/30/2019,49
3/31/2019,109
4/1/2019,131
4/2/2019,80
